customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10000,Male,0,Yes,No,13,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),44.86,586.4,Yes
CUST-10001,Female,1,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.77,581.85,No
CUST-10002,Female,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.83,1289.99,No
CUST-10003,Male,0,Yes,No,3,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,70.83,216.79,No
CUST-10004,Male,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.41,1219.65,No
CUST-10005,Female,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.34,1115.93,Yes
CUST-10006,Male,0,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.25,1213.57,No
CUST-10007,Female,0,Yes,No,45,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.26,3343.46,No
CUST-10008,Male,0,No,No,61,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),54.4,3306.71,No
CUST-10009,Male,0,Yes,No,56,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.87,2513.88,No
CUST-10010,Female,0,No,No,37,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),57.11,2120.18,No
CUST-10011,Female,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,1014.9,No
CUST-10012,Female,0,No,Yes,25,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,76.8,1892.31,Yes
CUST-10013,Female,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),61.88,2584.57,No
CUST-10014,Female,1,Yes,No,66,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.55,4044.51,No
CUST-10015,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),65.03,378.04,Yes
CUST-10016,Female,0,Yes,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,422.6,No
CUST-10017,Male,1,Yes,No,1,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.32,117.07,Yes
CUST-10018,Female,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,70.69,2774.32,Yes
CUST-10019,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,64.39,3654.72,No
CUST-10020,Female,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,36.31,No
CUST-10021,Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,711.31,No
CUST-10022,Male,1,No,No,30,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,52.99,1592.82,No
CUST-10023,Female,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,76.13,4324.06,No
CUST-10024,Female,0,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,257.54,No
CUST-10025,Female,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,186.56,No
CUST-10026,Male,0,No,No,6,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,77.97,495.45,No
CUST-10027,Female,0,No,No,29,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,53.3,1516.0,No
CUST-10028,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,66.91,2363.79,No
CUST-10029,Male,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,81.39,5464.33,No
CUST-10030,Male,0,No,Yes,34,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),61.4,2079.61,No
CUST-10031,Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.77,252.24,Yes
CUST-10032,Male,0,No,No,51,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),57.45,2934.12,No
CUST-10033,Female,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.25,38.25,Yes
CUST-10034,Female,0,No,No,25,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),82.12,2044.91,Yes
CUST-10035,Male,0,Yes,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,55.71,2610.87,No
CUST-10036,Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),72.08,1326.34,No
CUST-10037,Female,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),69.19,2967.15,No
CUST-10038,Male,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.39,668.65,No
CUST-10039,Female,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,64.93,4456.95,No
CUST-10040,Male,0,Yes,No,20,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),53.67,1072.13,No
CUST-10041,Female,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.43,1588.6,No
CUST-10042,Female,0,No,No,45,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,64.68,2932.32,No
CUST-10043,Male,0,No,No,54,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.49,3690.05,No
CUST-10044,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.05,276.77,No
CUST-10045,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,44.66,69.17,No
CUST-10046,Male,0,No,No,53,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),57.53,3022.97,No
CUST-10047,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,71.05,2491.86,No
CUST-10048,Female,0,No,Yes,22,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.93,1662.71,Yes
CUST-10049,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),87.9,5719.36,No
CUST-10050,Female,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.64,450.07,No
CUST-10051,Male,0,No,No,31,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,48.24,1482.48,No
CUST-10052,Male,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.68,1259.76,No
CUST-10053,Male,0,No,Yes,70,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),54.51,3792.73,No
CUST-10054,Male,0,Yes,No,65,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),46.42,3016.19,No
CUST-10055,Male,0,No,No,47,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,67.76,3223.28,No
CUST-10056,Female,1,No,Yes,8,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),55.02,461.52,Yes
CUST-10057,Male,0,No,No,7,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,79.51,579.98,Yes
CUST-10058,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.95,976.1,No
CUST-10059,Female,1,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,687.94,Yes
CUST-10060,Female,1,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,76.1,704.64,No
CUST-10061,Female,0,Yes,Yes,50,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.46,2329.1,No
CUST-10062,Male,1,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.46,1242.65,No
CUST-10063,Female,1,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,72.35,308.84,Yes
CUST-10064,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,58.04,3468.84,No
CUST-10065,Male,0,No,No,25,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),69.2,1743.14,Yes
CUST-10066,Female,0,No,Yes,29,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,39.56,1139.63,No
CUST-10067,Male,0,Yes,No,52,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,84.99,4399.77,No
CUST-10068,Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.03,370.43,Yes
CUST-10069,Male,0,No,No,11,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),76.12,876.68,No
